Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TTS=VM+FM+LM+SM,TAD=VAD+MAD+LAD
1503960366,04-12-2016,13162,8.5,8.5,1.879999995,0.550000012,6.059999943,25,13,328,728,1985,1094,8.48999995
1503960366,4/13/2016,10735,6.96999979,6.96999979,1.570000052,0.689999998,4.710000038,21,19,217,776,1797,1033,6.970000088
1503960366,4/14/2016,10460,6.739999771,6.739999771,2.440000057,0.400000006,3.910000086,30,11,181,1218,1776,1440,6.750000149
1503960366,4/15/2016,9762,6.28000021,6.28000021,2.140000105,1.25999999,2.829999924,29,34,209,726,1745,998,6.230000019
1503960366,4/16/2016,12669,8.159999847,8.159999847,2.710000038,0.409999996,5.039999962,36,10,221,773,1863,1040,8.159999996
1503960366,4/17/2016,9705,6.480000019,6.480000019,3.190000057,0.779999971,2.50999999,38,20,164,539,1728,761,6.480000019
1503960366,4/18/2016,13019,8.590000153,8.590000153,3.25,0.639999986,4.710000038,42,16,233,1149,1921,1440,8.600000024
1503960366,4/19/2016,15506,9.880000114,9.880000114,3.529999971,1.320000052,5.03000021,50,31,264,775,2035,1120,9.880000234
1503960366,4/20/2016,10544,6.679999828,6.679999828,1.960000038,0.479999989,4.239999771,28,12,205,818,1786,1063,6.679999799
1503960366,4/21/2016,9819,6.340000153,6.340000153,1.340000033,0.349999994,4.650000095,19,8,211,838,1775,1076,6.340000123
1503960366,4/22/2016,12764,8.130000114,8.130000114,4.760000229,1.120000005,2.24000001,66,27,130,1217,1827,1440,8.120000243
1503960366,4/23/2016,14371,9.039999962,9.039999962,2.809999943,0.870000005,5.360000134,41,21,262,732,1949,1056,9.040000081
1503960366,4/24/2016,10039,6.409999847,6.409999847,2.920000076,0.209999993,3.279999971,39,5,238,709,1788,991,6.410000041
1503960366,4/25/2016,15355,9.800000191,9.800000191,5.289999962,0.569999993,3.940000057,73,14,216,814,2013,1117,9.800000012
1503960366,4/26/2016,13755,8.789999962,8.789999962,2.329999924,0.920000017,5.539999962,31,23,279,833,1970,1166,8.789999902
1503960366,4/27/2016,18134,12.21000004,12.21000004,6.400000095,0.409999996,5.409999847,78,11,243,1108,2159,1440,12.21999994
1503960366,4/28/2016,13154,8.529999733,8.529999733,3.539999962,1.159999967,3.789999962,48,28,189,782,1898,1047,8.48999989
1503960366,4/29/2016,11181,7.150000095,7.150000095,1.059999943,0.5,5.579999924,16,12,243,815,1837,1086,7.139999866
1503960366,4/30/2016,14673,9.25,9.25,3.559999943,1.419999957,4.269999981,52,34,217,712,1947,1015,9.249999881
1503960366,05-01-2016,10602,6.809999943,6.809999943,2.289999962,1.600000024,2.920000076,33,35,246,730,1820,1044,6.810000062
1503960366,05-02-2016,14727,9.710000038,9.710000038,3.210000038,0.569999993,5.920000076,41,15,277,798,2004,1131,9.700000107
1503960366,05-03-2016,15103,9.659999847,9.659999847,3.730000019,1.049999952,4.880000114,50,24,254,816,1990,1144,9.660000086
1503960366,05-04-2016,11100,7.150000095,7.150000095,2.460000038,0.870000005,3.819999933,36,22,203,1179,1819,1440,7.149999976
1503960366,05-05-2016,14070,8.899999619,8.899999619,2.920000076,1.080000043,4.880000114,45,24,250,857,1959,1176,8.880000234
1503960366,05-06-2016,12159,8.029999733,8.029999733,1.970000029,0.25,5.809999943,24,6,289,754,1896,1073,8.029999971
1503960366,05-07-2016,11992,7.710000038,7.710000038,2.460000038,2.119999886,3.130000114,37,46,175,833,1821,1091,7.710000038
1503960366,05-08-2016,10060,6.579999924,6.579999924,3.529999971,0.319999993,2.730000019,44,8,203,574,1740,829,6.579999983
1503960366,05-09-2016,12022,7.71999979,7.71999979,3.450000048,0.529999971,3.74000001,46,11,206,835,1819,1098,7.720000029
1503960366,05-10-2016,12207,7.769999981,7.769999981,3.349999905,1.159999967,3.25999999,46,31,214,746,1859,1037,7.769999862
1503960366,05-11-2016,12770,8.130000114,8.130000114,2.559999943,1.00999999,4.550000191,36,23,251,669,1783,979,8.120000124
1503960366,05-12-2016,0,0,0,0,0,0,0,0,0,1440,0,1440,0
1624580081,04-12-2016,8163,5.309999943,5.309999943,0,0,5.309999943,0,0,146,1294,1432,1440,5.309999943
1624580081,4/13/2016,7007,4.550000191,4.550000191,0,0,4.550000191,0,0,148,1292,1411,1440,4.550000191
1624580081,4/14/2016,9107,5.920000076,5.920000076,0,0,5.909999847,0,0,236,1204,1572,1440,5.909999847
1624580081,4/15/2016,1510,0.980000019,0.980000019,0,0,0.970000029,0,0,96,1344,1344,1440,0.970000029
1624580081,4/16/2016,5370,3.49000001,3.49000001,0,0,3.49000001,0,0,176,1264,1463,1440,3.49000001
1624580081,4/17/2016,6175,4.059999943,4.059999943,1.029999971,1.519999981,1.49000001,15,22,127,1276,1554,1440,4.039999962
1624580081,4/18/2016,10536,7.409999847,7.409999847,2.150000095,0.620000005,4.619999886,17,7,202,1214,1604,1440,7.389999986
1624580081,4/19/2016,2916,1.899999976,1.899999976,0,0,1.899999976,0,0,141,1299,1435,1440,1.899999976
1624580081,4/20/2016,4974,3.230000019,3.230000019,0,0,3.230000019,0,0,151,1289,1446,1440,3.230000019
1624580081,4/21/2016,6349,4.130000114,4.130000114,0,0,4.110000134,0,0,186,1254,1467,1440,4.110000134
1624580081,4/22/2016,4026,2.619999886,2.619999886,0,0,2.599999905,0,0,199,1241,1470,1440,2.599999905
1624580081,4/23/2016,8538,5.550000191,5.550000191,0,0,5.539999962,0,0,227,1213,1562,1440,5.539999962
1624580081,4/24/2016,6076,3.950000048,3.950000048,1.149999976,0.910000026,1.889999986,16,18,185,1221,1617,1440,3.949999988
1624580081,4/25/2016,6497,4.21999979,4.21999979,0,0,4.199999809,0,0,202,1238,1492,1440,4.199999809
1624580081,4/26/2016,2826,1.840000033,1.840000033,0,0,1.830000043,0,0,140,1300,1402,1440,1.830000043
1624580081,4/27/2016,8367,5.440000057,5.440000057,1.110000014,1.870000005,2.460000038,17,36,154,1233,1670,1440,5.440000057
1624580081,4/28/2016,2759,1.789999962,1.789999962,0,0.200000003,1.600000024,0,5,115,1320,1401,1440,1.800000027
1624580081,4/29/2016,2390,1.549999952,1.549999952,0,0,1.549999952,0,0,150,1290,1404,1440,1.549999952
1624580081,4/30/2016,6474,4.300000191,4.300000191,0.899999976,1.279999971,2.119999886,11,23,224,1182,1655,1440,4.299999833
1624580081,05-01-2016,36019,28.03000069,28.03000069,21.92000008,4.190000057,1.909999967,186,63,171,1020,2690,1440,28.0200001
1624580081,05-02-2016,7155,4.929999828,4.929999828,0.860000014,0.589999974,3.470000029,7,6,166,1261,1497,1440,4.920000017
1624580081,05-03-2016,2100,1.370000005,1.370000005,0,0,1.340000033,0,0,96,1344,1334,1440,1.340000033
1624580081,05-04-2016,2193,1.429999948,1.429999948,0,0,1.419999957,0,0,118,1322,1368,1440,1.419999957
1624580081,05-05-2016,2470,1.610000014,1.610000014,0,0,1.580000043,0,0,117,1323,1370,1440,1.580000043
1624580081,05-06-2016,1727,1.120000005,1.120000005,0,0,1.120000005,0,0,102,1338,1341,1440,1.120000005
1624580081,05-07-2016,2104,1.370000005,1.370000005,0,0,1.370000005,0,0,182,1258,1474,1440,1.370000005
1624580081,05-08-2016,3427,2.230000019,2.230000019,0,0,2.220000029,0,0,152,1288,1427,1440,2.220000029
1624580081,05-09-2016,1732,1.129999995,1.129999995,0,0,1.129999995,0,0,91,1349,1328,1440,1.129999995
1624580081,05-10-2016,2969,1.929999948,1.929999948,0,0,1.919999957,0,0,139,1301,1393,1440,1.919999957
1624580081,05-11-2016,3134,2.039999962,2.039999962,0,0,2.039999962,0,0,112,1328,1359,1440,2.039999962
1624580081,05-12-2016,2971,1.929999948,1.929999948,0,0,1.919999957,0,0,107,890,1002,997,1.919999957
1644430081,04-12-2016,10694,7.769999981,7.769999981,0.140000001,2.299999952,5.329999924,2,51,256,1131,3199,1440,7.769999877
1644430081,4/13/2016,8001,5.820000172,5.820000172,2.279999971,0.899999976,2.640000105,30,16,135,1259,2902,1440,5.820000052
1644430081,4/14/2016,11037,8.020000458,8.020000458,0.360000014,2.559999943,5.099999905,5,58,252,1125,3226,1440,8.019999862
1644430081,4/15/2016,5263,3.829999924,3.829999924,0.219999999,0.150000006,3.450000048,3,4,170,1263,2750,1440,3.820000052
1644430081,4/16/2016,15300,11.11999989,11.11999989,4.099999905,1.879999995,5.090000153,51,42,212,1135,3493,1440,11.07000005
1644430081,4/17/2016,8757,6.369999886,6.369999886,2.25,0.569999993,3.549999952,29,13,186,1212,3011,1440,6.369999945
1644430081,4/18/2016,7132,5.190000057,5.190000057,1.070000052,1.669999957,2.450000048,15,33,121,1271,2806,1440,5.190000057
1644430081,4/19/2016,11256,8.180000305,8.180000305,0.360000014,2.529999971,5.300000191,5,58,278,1099,3300,1440,8.190000176
1644430081,4/20/2016,2436,1.769999981,1.769999981,0,0,1.75999999,0,0,125,1315,2430,1440,1.75999999
1644430081,4/21/2016,1223,0.889999986,0.889999986,0,0,0.879999995,0,0,38,1402,2140,1440,0.879999995
1644430081,4/22/2016,3673,2.670000076,2.670000076,0,0,2.660000086,0,0,86,1354,2344,1440,2.660000086
1644430081,4/23/2016,6637,4.829999924,4.829999924,0,0.579999983,4.25,0,15,160,1265,2677,1440,4.829999983
1644430081,4/24/2016,3321,2.410000086,2.410000086,0,0,2.410000086,0,0,89,1351,2413,1440,2.410000086
1644430081,4/25/2016,3580,2.599999905,2.599999905,0.589999974,0.059999999,1.950000048,8,1,94,1337,2497,1440,2.60000002
1644430081,4/26/2016,9919,7.210000038,7.210000038,0.800000012,1.720000029,4.690000057,11,41,223,1165,3123,1440,7.210000098
1644430081,4/27/2016,3032,2.200000048,2.200000048,0,0,2.200000048,0,0,118,1322,2489,1440,2.200000048
1644430081,4/28/2016,9405,6.840000153,6.840000153,0.200000003,2.319999933,4.309999943,3,53,227,1157,3108,1440,6.829999879
1644430081,4/29/2016,3176,2.309999943,2.309999943,0,0,2.309999943,0,0,120,1193,2498,1313,2.309999943
1644430081,4/30/2016,18213,13.23999977,13.23999977,0.629999995,3.140000105,9.460000038,9,71,402,816,3846,1298,13.23000014
1644430081,05-01-2016,6132,4.460000038,4.460000038,0.239999995,0.99000001,3.230000019,3,24,146,908,2696,1081,4.460000023
1644430081,05-02-2016,3758,2.730000019,2.730000019,0.07,0.310000002,2.349999905,1,7,148,682,2580,838,2.729999907
1644430081,05-03-2016,12850,9.340000153,9.340000153,0.720000029,4.090000153,4.539999962,10,94,221,1115,3324,1440,9.350000143
1644430081,05-04-2016,2309,1.679999948,1.679999948,0,0,1.659999967,0,0,52,1388,2222,1440,1.659999967
1644430081,05-05-2016,4363,3.190000057,3.190000057,0.519999981,0.540000021,2.130000114,6,12,81,1341,2463,1440,3.190000117
1644430081,05-06-2016,9787,7.119999886,7.119999886,0.819999993,0.270000011,6.010000229,11,6,369,1054,3328,1440,7.100000232
1644430081,05-07-2016,13372,9.720000267,9.720000267,3.25999999,0.790000021,5.670000076,41,17,243,1139,3404,1440,9.720000088
1644430081,05-08-2016,6724,4.889999866,4.889999866,0,0,4.880000114,0,0,295,991,2987,1286,4.880000114
1644430081,05-09-2016,6643,4.829999924,4.829999924,2.390000105,0.349999994,2.089999914,32,6,303,1099,3008,1440,4.830000013
1644430081,05-10-2016,9167,6.659999847,6.659999847,0.879999995,0.810000002,4.96999979,12,19,155,1254,2799,1440,6.659999788
1644430081,05-11-2016,1329,0.970000029,0.970000029,0,0,0.949999988,0,0,49,713,1276,762,0.949999988
1844505072,04-12-2016,6697,4.429999828,4.429999828,0,0,4.429999828,0,0,339,1101,2030,1440,4.429999828
1844505072,4/13/2016,4929,3.25999999,3.25999999,0,0,3.25999999,0,0,248,1192,1860,1440,3.25999999
1844505072,4/14/2016,7937,5.25,5.25,0,0,5.230000019,0,0,373,843,2130,1216,5.230000019
1844505072,4/15/2016,3844,2.539999962,2.539999962,0,0,2.539999962,0,0,176,527,1725,703,2.539999962
1844505072,4/16/2016,3414,2.25999999,2.25999999,0,0,2.25999999,0,0,147,1293,1657,1440,2.25999999
1844505072,4/17/2016,4525,2.99000001,2.99000001,0.140000001,0.25999999,2.589999914,2,8,199,1231,1793,1440,2.989999905
1844505072,4/18/2016,4597,3.039999962,3.039999962,0,0.479999989,2.559999943,0,12,217,1211,1814,1440,3.039999932
1844505072,4/19/2016,197,0.129999995,0.129999995,0,0,0.129999995,0,0,10,1430,1366,1440,0.129999995
1844505072,4/20/2016,8,0.01,0.01,0,0,0.01,0,0,1,1439,1349,1440,0.01
1844505072,4/21/2016,8054,5.320000172,5.320000172,0.119999997,0.519999981,4.679999828,2,13,308,1117,2062,1440,5.319999807
1844505072,4/22/2016,5372,3.549999952,3.549999952,0,0,3.549999952,0,0,220,1220,1827,1440,3.549999952
1844505072,4/23/2016,3570,2.359999895,2.359999895,0,0,2.359999895,0,0,139,1301,1645,1440,2.359999895
1844505072,4/24/2016,0,0,0,0,0,0,0,0,0,1440,1347,1440,0
